id,outcome,freshman,age,female,white,intl,married,hsgpa,hsrankpercent,SAT_Comb,a_rank,p_rank,interview,coaaid
162163,0,1,20,1,1,0,0,,0.83919598,1780,2,3,1,0
162302,0,1,19,0,1,0,1,2.8,0.443661972,2030,3,3,0,0
162306,0,1,18,1,,0,1,4.01,,,2,2,1,10000
162375,1,1,21,0,1,0,0,3.85,0.85,1840,3,3,0,24000
162376,1,0,20,0,,0,1,,,,3,2,0,0
162388,0,1,19,1,,0,1,,,,4,2,0,24000
162392,1,0,23,1,1,0,1,,,1860,3,3,1,18000
162400,0,1,19,1,,0,1,4,0.82767624,1950,3,3,0,10000
162561,0,1,19,1,1,0,1,3.9,0.970350404,2050,2,2,0,10000
162584,0,1,19,0,1,0,1,,0.94,2040,2,3,0,25100
162585,1,1,20,1,,0,1,3.99,0.937931034,,2,2,1,0
162600,1,0,22,1,1,0,1,,,,4,3,0,23000
162712,0,1,19,0,1,0,1,3.57,0.727762803,1980,3,3,0,0
162716,1,1,18,0,1,0,1,2.65,,,4,3,0,23000
162718,1,1,18,0,0,0,1,,,,4,4,0,0
162721,0,1,19,1,1,0,0,3.8,0.876033058,1650,3,3,0,0
162728,1,1,19,1,1,0,1,3.84,,,2,2,0,33000
162797,1,0,21,1,1,0,0,,,,2,3,0,21050
162800,0,0,20,1,1,0,1,,,1610,3,3,0,24000
162816,1,1,19,1,1,0,0,,,,3,3,0,15969
162828,0,1,18,1,1,0,1,,,1660,3,3,0,3000
162830,0,1,19,0,1,0,1,,,2210,3,4,0,1500
162835,0,1,20,0,,0,1,,,1880,3,3,1,3000
162836,0,1,19,1,,0,0,3.5,,1850,3,2,0,0
162840,0,0,21,1,0,0,1,3.7,,,3,2,1,5000
162841,0,0,20,0,1,0,1,,,1680,3,4,0,0
162842,0,1,19,1,1,0,1,3.4,,,3,3,0,24000
162856,0,0,20,0,1,0,1,,,2250,1,1,1,10000
162883,0,1,16,1,0,0,1,3.9,0.978540773,2100,2,2,0,30000
162961,1,1,25,1,,0,1,3.7,0.713888889,1900,2,3,0,0
162978,0,0,21,1,1,0,1,3.49,0.75,,4,2,0,4000
162988,0,1,18,0,1,0,1,3.82,0.877192982,,3,2,0,30000
163022,0,1,18,1,1,0,1,,,2300,2,3,1,5000
163036,0,0,21,1,1,0,1,3.6,,,2,2,0,15000
163103,0,1,19,0,1,0,0,3.06,,2110,3,3,0,3000
163119,0,1,21,1,1,0,0,3.9,,1820,4,3,0,0
163297,0,0,21,1,1,0,1,,,1830,3,2,0,15000
163298,0,1,19,0,1,0,1,3.7,0.902723735,1590,3,2,0,24350
163355,1,1,19,0,1,0,0,3.4,,2000,3,2,1,5000
163361,0,0,22,0,,0,0,,,,3,2,0,28400
163408,0,0,23,0,1,0,0,,,1940,3,3,0,3000
163457,0,1,19,0,1,0,1,3.27,0.706214689,1790,4,3,0,8250
163466,1,0,20,1,1,0,0,,,,3,3,0,3000
163795,1,0,22,0,1,0,1,,,,2,4,1,3000
165038,1,1,19,1,1,0,0,3.89,0.825396825,1860,1,2,0,32234
165059,1,1,19,1,1,0,1,4.16,,2290,1,2,0,10000
165060,0,1,18,1,1,0,0,4,0.930232558,2110,2,3,0,0
165078,1,1,19,1,1,0,1,3.09,,,3,3,1,17475
165127,0,1,18,1,1,0,1,,,2040,2,3,0,29075
165131,1,0,21,1,1,0,1,,,2250,2,3,0,0
165140,1,0,22,0,1,0,0,,,2140,4,3,1,0
165148,1,0,21,0,1,0,1,,,1690,4,3,0,0
165193,1,1,19,1,1,0,0,3.7,,,2,3,0,28100
165203,0,1,21,1,,0,0,,,,3,3,1,2000
165273,0,1,19,1,,0,1,,,2120,2,3,0,5000
165303,0,1,19,0,1,0,1,3.43,,2060,2,2,0,22500
165307,0,1,19,1,1,0,0,3.68,,,3,2,0,5000
165340,0,1,19,1,1,0,0,3.7,0.954954955,1890,2,2,1,23303
165472,1,0,20,0,1,0,1,,,,3,3,0,0
165545,0,1,18,1,,0,1,3.7,0.859375,,2,3,0,23400
165566,0,1,19,1,1,0,1,3.48,0.811023622,,2,3,0,7250
165719,0,1,18,1,1,0,1,2.77,0.616494845,,4,3,1,23000
165742,0,1,19,1,,0,1,3.3,,,3,2,0,30000
165753,0,1,19,0,1,0,0,4.42,,,3,3,0,0
165829,0,1,19,1,1,0,1,,,,3,3,1,26000
165842,0,1,18,0,1,0,0,,,2010,3,2,0,20000
167712,0,1,19,1,0,0,0,3.93,,2030,2,2,1,0
168050,1,0,20,1,0,0,0,,,,3,2,1,30745
168052,1,0,22,0,1,0,0,,,,4,2,0,0
168068,0,1,19,0,1,0,0,3.8,0.875,,3,3,0,18750
171812,1,1,18,1,1,0,1,,,1760,2,1,1,32600
174488,0,1,18,1,1,0,1,3.7,0.719298246,1930,2,3,0,0
175197,1,1,18,1,1,0,1,3.6,0.878296146,1860,3,4,0,3000
176081,0,1,18,0,1,0,1,3.05,0.389130435,1750,4,3,0,23000
176650,0,1,19,0,1,0,0,3.46,0.921658986,2080,2,3,0,18050
177563,0,1,18,0,1,0,1,3.2,,2020,3,2,1,15000
181830,0,1,18,1,1,0,1,4,0.99789916,2240,1,3,1,10000
185961,0,1,19,1,1,0,1,3.97,0.772819473,,3,2,1,10000
188325,0,0,19,1,1,0,1,,0.912903226,1810,3,3,0,8850
188439,1,0,22,0,0,0,1,,,1950,2,2,0,10000
188444,0,1,19,1,1,0,1,3.86,,2060,1,2,1,10000
188516,1,1,18,1,1,0,1,3.94,0.786259542,1640,3,3,1,26000
188517,0,1,18,1,1,0,1,4.15,0.917721519,,4,3,0,0
188549,1,1,18,0,1,0,1,4.55,0.960869565,1880,2,3,1,30000
188552,0,1,19,1,,0,1,3.65,,1990,2,3,1,23450
188848,0,1,19,1,1,0,1,3.98,0.9,1900,2,2,0,0
190573,0,1,18,1,0,0,0,3.83,,2000,2,2,0,10000
190604,0,1,18,0,1,0,0,,,1640,3,3,0,3000
190624,0,1,18,1,,0,0,3.8,,,2,2,1,10000
190670,0,1,18,1,1,0,1,4,0.972850679,2000,2,1,1,10000
190752,1,1,18,0,1,0,1,3.43,,,4,2,0,22300
190753,0,1,19,1,1,0,1,,,,2,2,1,12069
190762,0,1,18,1,,0,1,,,,3,2,0,16000
190767,0,1,19,1,,0,1,3.57,,,2,2,1,10000
191352,1,0,21,1,,0,1,,,,2,3,0,0
191391,0,1,19,1,1,0,0,3.97,,1910,2,2,0,0
191420,0,1,19,1,1,0,0,2.9,,,4,4,0,20000
191459,1,0,19,1,1,0,0,,,1600,4,3,0,27000
191467,1,0,20,1,1,0,1,,,1500,3,3,0,0
191468,1,1,18,1,1,0,1,3.85,0.879837067,,3,2,0,30000
192142,0,1,18,1,1,0,1,3.88,0.993506494,1910,1,2,0,32500
192161,1,1,18,1,1,0,1,3.73,0.970515971,2080,2,2,1,33000
192163,0,1,19,1,0,0,0,3.83,,2080,2,2,1,10000
192810,0,1,18,1,1,0,1,3.88,0.912225705,1580,2,2,0,33000
192874,1,0,24,0,1,0,1,,,,4,3,0,0
203009,0,1,19,0,1,0,1,3.98,,2130,1,2,0,16225
203631,0,1,19,1,,0,0,3.55,0.940133038,,2,3,0,30000
203983,0,1,19,1,,0,1,,,,3,3,0,16350
204290,1,0,21,1,1,0,1,3.88,,1980,2,3,1,30000
208528,0,0,18,1,1,0,1,,,1950,3,3,0,0
210112,0,1,19,1,1,0,1,3.8,0.990740741,2000,2,3,0,5000
210147,1,1,18,0,1,0,0,3.78,0.856269113,2040,2,2,1,26425
210169,0,1,18,0,1,0,1,,,1610,3,3,0,26000
210178,0,1,18,0,1,0,1,2.95,,1900,4,3,0,22125
210205,1,1,19,0,,0,1,,,1800,4,3,1,0
210226,1,0,21,1,1,0,0,3.1,0.975308642,2040,2,2,1,26500
210229,0,1,19,0,,0,1,3.57,,,3,3,1,3000
211919,0,0,24,0,1,0,0,,,,2,3,0,15000
213861,1,1,19,1,1,0,1,3.84,0.994186047,,2,3,0,30000
214005,0,0,20,1,,0,1,,,,2,3,0,0
214015,1,1,19,1,0,0,1,,,2010,2,3,0,18050
214039,0,1,18,0,1,0,1,,,,3,3,0,3000
214044,0,1,19,1,1,0,0,3.88,,1930,2,3,0,30000
214047,0,1,19,1,1,0,1,4.7,,2100,2,3,0,26400
214082,1,1,18,1,0,0,0,3.1,0.656848306,1700,4,3,0,23000
214085,0,1,18,0,1,0,1,2.77,,,4,3,0,0
214088,1,0,21,0,,0,1,3.4,,1960,4,3,0,0
214098,0,1,19,1,1,0,1,3.89,0.955307263,,2,2,0,10000
214112,0,1,19,1,0,0,0,3.43,0.629533679,1790,3,2,0,0
214116,1,1,19,1,1,0,1,3.37,,,3,3,0,34600
214263,0,1,18,1,1,0,1,3.68,,1630,3,3,0,4370
214340,0,1,18,1,1,0,1,3.57,0.84,1720,3,3,0,26000
214346,0,1,19,0,1,0,1,3.8,0.931106472,2020,2,3,0,27050
214376,0,1,19,1,1,0,1,4.3,0.971193416,1970,2,1,0,10000
214384,1,1,20,1,1,0,1,3.5,,1970,3,2,1,30000
214385,0,1,19,0,1,0,1,3.6,,1860,2,2,0,33000
214389,1,1,19,1,1,0,1,,,1630,3,3,1,0
214396,0,1,18,0,1,0,0,,0.686567164,1890,3,2,0,0
214451,1,1,21,1,1,0,1,,,2050,2,2,0,0
214482,0,0,19,1,,0,1,3.7,,,2,2,1,10000
214487,0,1,19,0,1,0,1,3.7,0.931506849,1980,1,1,0,10000
214496,0,1,19,1,1,0,1,3.95,,2060,2,3,0,5000
