id,outcome,a_rank,p_rank,freshman,ed,age,female,white,award,interview
315219,1,3,2,1,0,18,1,0,31031,0
315221,0,2,2,1,0,20,1,0,29531,0
315245,0,3,3,0,0,19,1,1,0,0
315307,0,4,4,1,0,18,1,0,0,0
315364,0,3,3,0,0,21,1,0,0,1
315366,0,2,3,0,0,21,1,1,0,0
315371,0,2,2,1,0,18,1,0,0,0
315372,1,3,3,0,0,20,1,1,0,1
315379,1,2,3,0,0,20,1,1,0,1
325329,0,3,2,0,0,21,1,1,0,1
325351,1,3,2,0,0,37,1,,0,1
325361,0,3,2,0,0,20,1,,0,0
